Order,Taxon,Date,BzS,BzM,BzD,BoM,BoD,BoS,JaS,JaM,JaD
AMPHIPODA,Apohyale sp,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca abdita,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca agassizi,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes bermudeus ,2013 May,12,1,8,0,0,1,4,9,0
AMPHIPODA,Ampelisca bicarinata,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Anamixis cavatura ,2013 May,0,0,2,0,0,0,0,1,0
ISOPODA,Apanthura cracenta ,2013 May,7,3,8,0,2,2,11,5,0
ISOPODA,Accalathura crenulata,2013 May,0,1,2,0,0,0,0,0,0
AMPHIPODA,Anamaera hixoni,2013 May,0,0,0,0,0,0,1,0,0
ISOPODA,Anopsilana jonesi,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Alcirona krebsi,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Amakusanthura magnifica ,2013 May,6,3,0,0,1,0,5,5,1
ISOPODA,Amakusanthura sp ,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Apanthuroides millan,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudomorpha sp A ,2013 May,46,1,0,0,0,0,7,0,0
AMPHIPODA,Ampelisca sp,2013 May,0,0,0,0,0,0,1,0,0
AMPHIPODA,Ampithoe sp,2013 May,1,0,0,0,0,0,0,0,0
ISOPODA,Anthomuda affinis ,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Anthuridea ,2013 May,1,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes orghidani,2013 May,1,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudidae A,2013 May,2,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes sp A ,2013 May,238,12,0,0,0,0,2,2,0
AMPHIPODA,Ampithoe ramondi,2013 May,0,2,1,0,0,2,2,0,0
AMPHIPODA,Ampelisca schellenbergi,2013 May,0,0,0,0,0,1,0,0,0
ISOPODA,Amakusanthura signata,2013 May,1,0,1,0,0,0,0,0,0
AMPHIPODA,Batea cuspidata ,2013 May,0,0,1,0,0,0,3,0,0
AMPHIPODA,Bemlos sp,2013 May,0,0,1,0,0,0,1,0,0
AMPHIPODA,Biancolina sp ,2013 May,0,0,0,0,0,1,0,0,0
AMPHIPODA,Bemlos spinicarpus ,2013 May,0,0,0,0,0,0,1,0,0
AMPHIPODA,Bemlos unicornis,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana albioida,2013 May,0,0,0,1,0,0,0,0,0
ISOPODA,Carpias algicola ,2013 May,0,0,0,0,0,3,16,1,1
CUMACEA,Campylaspis sp ,2013 May,0,1,0,0,0,0,0,0,0
CUMACEA,Cumella antipai,2013 May,0,0,0,0,0,0,1,0,0
CUMACEA,Cubanocuma gutzi ,2013 May,1,0,0,0,0,0,0,0,0
AMPHIPODA,Caribboecetes sp ,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella clavicauda ,2013 May,0,2,1,0,0,0,0,1,0
AMPHIPODA,Concarnes concavus,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana crenulitelson,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Curidia debrogania,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella garrityi,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cyclaspis goesi,2013 May,0,0,0,0,0,0,1,0,0
CUMACEA,Cumella gomoiui ,2013 May,0,0,1,0,1,0,0,1,0
CUMACEA,Cyclaspis granulata,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Calyptolana hancocki ,2013 May,0,0,0,0,1,0,0,2,0
AMPHIPODA,Chevalia aviculae,2013 May,83,2,35,0,3,8,14,12,5
CUMACEA,Campylaspis cf heardi ,2013 May,0,0,1,0,0,0,0,0,0
aMPHIPODA,Chevalia sp,2013 May,0,0,1,0,1,0,0,0,0
aMPHIPODA,Colomastix janiceae,2013 May,0,0,2,0,0,0,0,1,0
ISOPODA,Colanthura sp,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella longicaudata ,2013 May,0,2,1,0,0,0,1,1,0
CUMACEA,Cumella meredithi,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella murariui,2013 May,1,0,0,0,1,0,0,0,0
CUMACEA,Cumella ocellata,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana parva ,2013 May,2,118,1,30,1,1,7,7,3
ISOPODA,Cleantioides planicauda,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella ruetzleri ,2013 May,0,2,1,0,0,0,0,0,0
CUMACEA,Cumella serrata ,2013 May,1,0,0,0,0,0,1,0,0
AMPHIPODA,Ceradocus sheardi ,2013 May,0,3,7,0,2,1,10,3,1
AMPHIPODA,Ceradocus shoemakeri,2013 May,0,0,3,0,0,0,0,0,0
ISOPODA,Colanthura tenuis,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Carpias triton ,2013 May,0,1,0,0,0,0,0,0,0
ISOPODA,Cortezura  confixa,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella sp A,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella sp G,2013 May,0,0,0,0,0,0,1,0,0
CUMACEA,Cyclaspis varians,2013 May,0,0,1,0,0,0,0,0,0
CUMACEA,Cumella vicina ,2013 May,1,0,4,0,1,2,1,0,0
ISOPODA,Cyathura sp,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Cyclaspis sp ,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Cymadusa sp,2013 May,0,0,0,0,1,0,2,2,1
ISOPODA,Cymodoce ruetzleri,2013 May,0,7,1,1,3,6,1,1,1
AMPHIPODA,Cyprodeidae A,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Discapseudes belizensis,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Dexaminidae A,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Deutella incerta ,2013 May,1,0,0,0,0,0,0,0,0
ISOPODA,Dycerceis kensleyi,2013 May,0,1,0,0,0,0,0,0,0
AMPHIPODA,Dexaminella sp ,2013 May,0,0,5,0,0,0,0,0,0
AMPHIPODA,Dumosus sp,2013 May,5,0,0,0,0,0,0,0,0
ISOPODA,Excorallana antillensis,2013 May,2,0,0,2,0,0,0,0,0
AMPHIPODA,Elasmopus balkomanus,2013 May,0,0,0,0,0,0,0,2,0
ISOPODA,Excorallana berbicensis,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Erichthonius brasiliensis ,2013 May,0,0,0,0,0,0,0,0,3
ISOPODA,Eurydice convexa,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Elasmocumella sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Exosphaeroma diminuta,2013 May,0,0,0,0,0,0,1,0,0
ISOPODA,Erichsonella filiformis,2013 May,0,0,0,0,0,0,1,0,0
ISOPODA,Elasmopus levis,2013 May,1,0,0,0,0,0,0,0,0
ISOPODA,Eisothistos petrensis ,2013 May,0,0,1,0,0,0,0,0,0
AMPHIPODA,Elasmopus rapax ,2013 May,14,7,12,1,2,0,22,20,10
AMPHIPODA,Eobrolgus spinosus,2013 May,5,0,0,0,0,0,1,0,0
ISOPODA,Exosphaeroma tricornis ,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Eudorella sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Excorallana warmingii ,2013 May,0,0,0,2,1,0,0,0,0
ISOPODA,Excorallana sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Exosphaeroma sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Exosphaeroma yucatanum,2013 May,0,0,0,0,0,0,0,0,0
aMPHIPODA,Gammaropsis atlantica,2013 May,0,0,0,0,0,0,1,1,1
ISOPODA,Geocerceis barbarae ,2013 May,1,0,4,7,0,1,11,3,2
ISOPODA,Gnathia beethoveni ,2013 May,0,0,2,0,0,0,0,0,0
AMPHIPODA,Gammarus mucronatus,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Gnathia magdalensis ,2013 May,1,0,0,0,0,0,1,0,0
ISOPODA,Gnathia myersi,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Gnathia sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Gnathostenetroides pugio,2013 May,8,0,3,0,0,2,0,4,0
ISOPODA,Gnathostenetroides sp,2013 May,0,0,3,0,0,0,0,0,0
ISOPODA,"Gnathia (praniza, ovigerous)",2013 May,41,5,21,0,2,4,13,2,8
ISOPODA,Gnathia  puertoricensis ,2013 May,9,2,2,0,0,0,2,5,2
AMPHIPODA,Globosolembos smithi ,2013 May,0,0,5,0,0,1,7,1,3
ISOPODA,Gnathia vellosa ,2013 May,2,3,3,5,0,0,1,0,3
ISOPODA,Gnathia virginalis,2013 May,23,0,0,0,0,0,0,0,0
AMPHIPODA,Hippomedon sp,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Hoplomachus propinquus ,2013 May,1,0,0,0,0,0,1,0,0
TANAIDACEA,Hargeria rapax ,2013 May,3,5,0,0,0,1,1,0,0
ISOPODA,Heptanthura scopulosa,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Hansenium serratum,2013 May,0,0,0,0,0,0,1,0,0
ISOPODA,Hansenium spathulicarpus,2013 May,0,0,0,0,1,0,1,0,1
ISOPODA,Hansenium stebbingi,2013 May,0,0,1,0,1,3,36,1,1
AMPHIPODA,Hourstonius tortugae ,2013 May,0,0,1,0,0,0,2,1,0
AMPHIPODA,Hemiproto wigleyi ,2013 May,0,1,5,0,0,0,0,0,0
AMPHIPODA,Hyalidae A,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ingolfiella sp,2013 May,1,0,0,0,1,1,0,0,0
AMPHIPODA,Iphimediidae A,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Joeropsis bifasciatus,2013 May,4,0,0,0,0,0,1,0,0
ISOPODA,Joeropsis sp ,2013 May,0,0,0,0,0,5,0,0,0
ISOPODA,Joeropsis personatus,2013 May,0,1,0,0,0,0,0,0,0
ISOPODA,Joeropsis rathbunae,2013 May,0,0,0,0,0,1,0,0,0
ISOPODA,Joeropsis tobagoensis,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Kalliapseudes bahamensis  ,2013 May,0,0,2,0,0,0,0,0,0
AMPHIPODA,Lyssianopsis alba,2013 May,0,2,0,1,0,0,0,0,2
AMPHIPODA,Liljeborgia bousfieldi,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Leptochelia dubia ,2013 May,126,16,10,0,2,1,4,4,2
CUMACEA,Leucon sp A,2013 May,0,0,0,0,0,0,0,0,1
CUMACEA,Leucon sp B,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Liljeborgia sp,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Listriella sp,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Leucothoe laurensis,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Leptochelia longimana,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Lyocoryphe minocule,2013 May,0,0,0,0,0,0,12,1,1
ISOPODA,Limnoria platicauda,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Leucothoe spinicarpa ,2013 May,0,1,8,0,0,1,34,8,3
AMPHIPODA,Leucothoe sp,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Lembos unifasciatus,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Maeropsis sp,2013 May,0,0,0,0,0,1,0,0,0
ISOPODA,Metacirolana agaricicola ,2013 May,0,0,0,0,0,0,1,1,0
aMPHIPODA,Maera sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Mesanthura bivittata ,2013 May,0,0,0,0,0,0,0,0,0
CUMACEA,Mancocuma sp,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Metacirolana menziesi ,2013 May,0,0,0,0,0,0,0,0,0
ISOPODA,Mesanthura sp,2013 May,0,0,0,1,0,0,2,0,0
AMPHIPODA,Melita sp,2013 May,1,7,0,0,0,0,0,0,0
AMPHIPODA,Metarphinia floridana,2013 May,1,0,0,0,1,0,1,0,2
ISOPODA,Metacirolana halia ,2013 May,21,1,0,0,0,0,0,0,0
ISOPODA,Mesanthura hopkinsi,2013 May,0,1,0,0,0,4,0,1,1
AMPHIPODA,Maera jerrica ,2013 May,1,0,0,0,0,0,0,1,0
AMPHIPODA,Maera miranda ,2013 May,0,0,0,0,0,0,5,0,0
ISOPODA,Mesanthura paucidens ,2013 May,0,0,0,0,0,0,1,0,0
ISOPODA,Mesanthura pulchra ,2013 May,0,1,1,1,0,0,1,0,0
AMPHIPODA,Melita sheardi,2013 May,0,0,0,0,0,0,0,1,0
AMPHIPODA,Metatyron triocellatus,2013 May,1,1,0,0,0,0,0,0,0
MYSIDAE,Mysidae A,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Netamelita barnardi  ,2013 May,1,0,2,0,0,0,5,0,0
ISOPODA,Neocirolana obtruncata,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Nototanaidae  A ,2013 May,0,0,0,0,0,0,1,0,0
TANAIDACEA,Nototanaidae C,2013 May,36,0,0,0,0,0,2,0,0
AMPHIPODA,Oedicerotidae A,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Pseudoapseudomorpha sp A,2013 May,0,0,0,0,0,7,0,0,0
ISOPODA,Paracerceis sp,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Pagurotanais bouryi,2013 May,0,0,0,8,0,10,0,0,0
ISOPODA,Paracerceis caudata ,2013 May,1,1,0,3,3,0,0,1,0
AMPHIPODA,Periculodes cerasinus,2013 May,1,0,0,0,0,0,0,0,0
ISOPODA,Pleurocope floridensis,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Parapseudes sp A ,2013 May,9,0,0,0,0,0,1,0,0
ISOPODA,Pendanthura sp,2013 May,1,0,0,0,0,0,0,0,0
ISOPODA,Paranthura floridensis,2013 May,0,0,0,0,0,0,5,0,0
TANAIDACEA,Psammokalliapseudes granulosus,2013 May,0,1,3,0,0,0,0,0,0
ISOPODA,Pendanthura hendleri ,2013 May,20,0,0,0,0,0,0,0,0
AMPHIPODA,Photis sp,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Pseudoampithoides incurvaria ,2013 May,1,1,0,0,2,0,1,4,5
ISOPODA,Paranthura infundibulata,2013 May,0,0,0,0,0,0,1,0,0
TANAIDACEA,Pseudoleptochelia sp A ,2013 May,79,16,17,9,4,1,26,9,5
ISOPODA,Paramunnidae A,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Psammogammarus sp ,2013 May,0,0,0,0,0,0,0,0,0
AMPHIPODA,Paraphinotus seclusus ,2013 May,0,1,0,0,0,0,1,0,0
ISOPODA,Pendanthura tanaiformis,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Paratanais sp A,2013 May,199,7,34,1,2,162,2,3,4
AMPHIPODA,Quadrimaera sp ,2013 May,11,0,0,0,0,0,0,0,1
CUMACEA,Schizotrema aglutinanta ,2013 May,0,0,0,0,0,1,0,1,0
ISOPODA,Hansenium bowmani,2013 May,0,6,0,0,0,0,3,0,1
AMPHIPODA,Spathiopus looensis,2013 May,0,0,0,0,0,0,2,0,0
CUMACEA,Spilocuma sp,2013 May,0,0,0,0,0,0,0,0,0
TANAIDACEA,Sinelobus stanfordi ,2013 May,41,10,3,0,0,0,4,1,1
ISOPODA,Stenobermuda sp,2013 May,0,0,0,0,0,1,0,0,0
AMPHIPODA,Seba tropica,2013 May,0,0,3,0,0,0,0,0,0
AMPHIPODA,Synopia ultramarina,2013 May,0,1,0,0,0,0,0,0,0
TANAIDACEA,Synapseudes sp A ,2013 May,1,0,8,0,0,2,0,0,0
AMPHIPODA,Tabatzius muelleri ,2013 May,0,0,2,0,0,0,0,0,0
ISOPODA,Uromunna reynoldsi ,2013 May,0,0,0,0,0,1,1,0,0
CUMACEA,Vaunthompsonia sp,2013 May,0,0,1,0,0,0,0,0,0
CUMACEA,Vaunthompsonia floridana,2013 May,1,0,2,0,0,0,0,0,0
CUMACEA,Vaunthompsonia minor,2013 May,0,0,1,0,0,0,0,0,0
TANAIDACEA,Zeuxo kurilensis ,2013 May,1,4,0,1,0,0,0,1,1
AMPHIPODA,Apohyale sp,2013 Aug,0,0,0,0,0,1,0,0,0
AMPHIPODA,Ampelisca abdita,2013 Aug,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca agassizi,2013 Aug,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes bermudeus ,2013 Aug,0,1,0,0,0,0,3,0,0
AMPHIPODA,Ampelisca bicarinata,2013 Aug,0,0,0,0,0,1,0,0,0
AMPHIPODA,Anamixis cavatura ,2013 Aug,0,0,0,0,0,2,0,0,0
ISOPODA,Apanthura cracenta ,2013 Aug,7,2,11,2,0,4,18,6,2
ISOPODA,Accalathura crenulata,2013 Aug,0,0,1,1,0,1,0,1,0
AMPHIPODA,Anamaera hixoni,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Anopsilana jonesi,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Alcirona krebsi,2013 Aug,0,0,0,0,0,0,0,0,1
ISOPODA,Amakusanthura magnifica ,2013 Aug,1,0,0,0,0,2,2,0,0
ISOPODA,Amakusanthura sp ,2013 Aug,0,0,0,9,0,0,0,0,0
ISOPODA,Apanthuroides millan,2013 Aug,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudomorpha sp A ,2013 Aug,0,0,2,2,3,6,19,7,0
AMPHIPODA,Ampelisca sp,2013 Aug,0,0,0,0,0,0,0,0,1
AMPHIPODA,Ampithoe sp,2013 Aug,0,0,0,0,0,0,1,1,0
ISOPODA,Anthomuda affinis ,2013 Aug,0,0,0,1,0,0,0,0,0
ISOPODA,Anthuridea ,2013 Aug,0,0,0,1,0,0,0,0,0
TANAIDACEA,Apseudes orghidani,2013 Aug,0,0,0,0,0,0,8,0,0
TANAIDACEA,Apseudidae A,2013 Aug,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes sp A ,2013 Aug,9,15,5,3,1,6,12,3,3
AMPHIPODA,Ampithoe ramondi,2013 Aug,0,5,0,3,4,0,0,0,0
AMPHIPODA,Ampelisca schellenbergi,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Amakusanthura signata,2013 Aug,0,0,0,0,0,4,3,1,1
AMPHIPODA,Batea cuspidata ,2013 Aug,2,0,0,0,0,0,0,0,0
AMPHIPODA,Bemlos sp,2013 Aug,0,0,0,0,0,0,0,0,0
AMPHIPODA,Biancolina sp ,2013 Aug,0,0,0,0,0,0,0,0,0
AMPHIPODA,Bemlos spinicarpus ,2013 Aug,0,0,0,0,0,0,0,0,0
AMPHIPODA,Bemlos unicornis,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana albioida,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Carpias algicola ,2013 Aug,0,1,0,0,0,0,0,1,2
CUMACEA,Campylaspis sp ,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella antipai,2013 Aug,0,0,0,0,0,1,1,0,0
CUMACEA,Cubanocuma gutzi ,2013 Aug,0,0,0,0,0,1,0,0,0
AMPHIPODA,Caribboecetes sp ,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella clavicauda ,2013 Aug,0,2,0,0,0,1,0,0,0
AMPHIPODA,Concarnes concavus,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana crenulitelson,2013 Aug,0,0,0,0,0,0,0,0,0
AMPHIPODA,Curidia debrogania,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella garrityi,2013 Aug,0,0,0,0,0,0,0,0,1
CUMACEA,Cyclaspis goesi,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella gomoiui ,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cyclaspis granulata,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Calyptolana hancocki ,2013 Aug,0,0,0,2,0,0,1,0,0
AMPHIPODA,Chevalia aviculae,2013 Aug,0,27,0,0,5,0,0,2,4
CUMACEA,Campylaspis cf heardi ,2013 Aug,0,1,0,0,0,0,0,0,0
aMPHIPODA,Chevalia sp,2013 Aug,0,0,0,0,0,0,0,0,0
aMPHIPODA,Colomastix janiceae,2013 Aug,0,4,0,0,0,0,0,1,0
ISOPODA,Colanthura sp,2013 Aug,0,0,0,0,0,1,0,0,0
CUMACEA,Cumella longicaudata ,2013 Aug,0,0,0,0,1,0,0,0,0
CUMACEA,Cumella meredithi,2013 Aug,0,0,0,0,1,0,0,0,0
CUMACEA,Cumella murariui,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella ocellata,2013 Aug,0,0,1,0,0,0,0,0,0
ISOPODA,Cirolana parva ,2013 Aug,1,12,9,3,0,4,7,4,3
ISOPODA,Cleantioides planicauda,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella ruetzleri ,2013 Aug,0,0,0,0,1,0,0,0,0
CUMACEA,Cumella serrata ,2013 Aug,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ceradocus sheardi ,2013 Aug,0,0,4,7,0,10,3,4,0
AMPHIPODA,Ceradocus shoemakeri,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Colanthura tenuis,2013 Aug,0,0,0,1,0,0,0,0,0
ISOPODA,Carpias triton ,2013 Aug,0,0,0,0,0,0,0,0,0
ISOPODA,Cortezura  confixa,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella sp A,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella sp G,2013 Aug,0,1,0,0,0,0,0,0,0
CUMACEA,Cyclaspis varians,2013 Aug,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella vicina ,2013 Aug,0,2,0,0,0,3,0,0,0
