Order,Taxon,Date,BzS,BzM,BzD,BoM,BoD,BoS,JaS,JaM,JaD
AMPHIPODA,Listriella sp,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Leucothoe laurensis,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Leptochelia longimana,2013 Nov,3,0,0,0,0,0,0,0,0
ISOPODA,Lyocoryphe minocule,2013 Nov,0,2,0,1,0,0,0,0,0
ISOPODA,Limnoria platicauda,2013 Nov,0,1,0,0,0,0,0,0,0
AMPHIPODA,Leucothoe spinicarpa ,2013 Nov,0,7,0,5,0,4,0,8,1
AMPHIPODA,Leucothoe sp,2013 Nov,0,0,0,1,0,0,0,0,0
AMPHIPODA,Lembos unifasciatus,2013 Nov,0,0,0,1,0,0,0,0,0
AMPHIPODA,Maeropsis sp,2013 Nov,0,0,0,0,0,0,0,0,0
ISOPODA,Metacirolana agaricicola ,2013 Nov,0,0,0,4,0,0,0,0,0
aMPHIPODA,Maera sp,2013 Nov,0,0,0,0,0,0,0,1,0
ISOPODA,Mesanthura bivittata ,2013 Nov,0,0,0,0,0,1,0,0,0
CUMACEA,Mancocuma sp,2013 Nov,0,0,0,0,0,0,0,0,0
ISOPODA,Metacirolana menziesi ,2013 Nov,0,0,0,0,0,0,0,0,0
ISOPODA,Mesanthura sp,2013 Nov,0,2,0,1,1,0,0,0,1
AMPHIPODA,Melita sp,2013 Nov,0,2,0,0,0,0,0,0,0
AMPHIPODA,Metarphinia floridana,2013 Nov,2,0,0,0,0,0,1,0,1
ISOPODA,Metacirolana halia ,2013 Nov,2,0,0,1,1,0,0,0,0
ISOPODA,Mesanthura hopkinsi,2013 Nov,0,0,0,1,0,0,0,0,0
AMPHIPODA,Maera jerrica ,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Maera miranda ,2013 Nov,0,0,0,0,0,0,0,0,0
ISOPODA,Mesanthura paucidens ,2013 Nov,1,0,0,0,0,0,1,1,0
ISOPODA,Mesanthura pulchra ,2013 Nov,0,0,0,1,1,1,0,3,1
AMPHIPODA,Melita sheardi,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Metatyron triocellatus,2013 Nov,0,0,0,0,0,0,0,0,0
MYSIDAE,Mysidae A,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Netamelita barnardi  ,2013 Nov,1,0,0,0,0,0,0,0,0
ISOPODA,Neocirolana obtruncata,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Nototanaidae  A ,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Nototanaidae C,2013 Nov,0,0,0,0,2,5,0,0,0
AMPHIPODA,Oedicerotidae A,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Pseudoapseudomorpha sp A,2013 Nov,1,0,0,0,0,0,0,23,0
ISOPODA,Paracerceis sp,2013 Nov,0,0,0,0,0,0,0,0,1
TANAIDACEA,Pagurotanais bouryi,2013 Nov,0,0,0,34,0,0,1,3,0
ISOPODA,Paracerceis caudata ,2013 Nov,0,2,1,2,0,3,0,0,3
AMPHIPODA,Periculodes cerasinus,2013 Nov,0,0,0,0,0,0,0,0,0
ISOPODA,Pleurocope floridensis,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Parapseudes sp A ,2013 Nov,3,1,0,0,0,0,0,0,0
ISOPODA,Pendanthura sp,2013 Nov,0,0,0,0,1,0,0,0,0
ISOPODA,Paranthura floridensis,2013 Nov,0,0,0,1,0,0,0,0,0
TANAIDACEA,Psammokalliapseudes granulosus,2013 Nov,0,0,0,0,1,1,0,0,0
ISOPODA,Pendanthura hendleri ,2013 Nov,2,22,0,0,0,0,0,0,0
AMPHIPODA,Photis sp,2013 Nov,0,2,0,0,0,0,0,0,0
AMPHIPODA,Pseudoampithoides incurvaria ,2013 Nov,0,4,0,0,1,1,3,0,0
ISOPODA,Paranthura infundibulata,2013 Nov,0,0,0,0,0,0,0,5,0
TANAIDACEA,Pseudoleptochelia sp A ,2013 Nov,73,12,2,5,9,27,15,16,3
ISOPODA,Paramunnidae A,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Psammogammarus sp ,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Paraphinotus seclusus ,2013 Nov,0,0,0,0,0,0,0,0,0
ISOPODA,Pendanthura tanaiformis,2013 Nov,0,0,0,1,0,0,0,0,0
TANAIDACEA,Paratanais sp A,2013 Nov,32,45,1,175,6,120,3,49,1
AMPHIPODA,Quadrimaera sp ,2013 Nov,0,0,0,0,0,0,0,0,0
CUMACEA,Schizotrema aglutinanta ,2013 Nov,0,1,0,1,0,0,0,0,0
ISOPODA,Hansenium bowmani,2013 Nov,0,0,0,0,1,0,0,0,0
AMPHIPODA,Spathiopus looensis,2013 Nov,0,0,0,4,0,0,0,0,0
CUMACEA,Spilocuma sp,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Sinelobus stanfordi ,2013 Nov,29,5,0,2,1,11,1,1,0
ISOPODA,Stenobermuda sp,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Seba tropica,2013 Nov,0,0,0,0,0,0,0,0,0
AMPHIPODA,Synopia ultramarina,2013 Nov,0,0,0,0,0,0,0,0,0
TANAIDACEA,Synapseudes sp A ,2013 Nov,0,0,0,0,0,3,1,0,0
AMPHIPODA,Tabatzius muelleri ,2013 Nov,0,0,0,7,0,0,0,0,0
ISOPODA,Uromunna reynoldsi ,2013 Nov,0,0,0,0,0,0,0,0,0
CUMACEA,Vaunthompsonia sp,2013 Nov,0,0,0,0,0,0,0,0,0
CUMACEA,Vaunthompsonia floridana,2013 Nov,0,0,0,0,0,0,0,0,0
CUMACEA,Vaunthompsonia minor,2013 Nov,1,0,0,0,0,0,0,0,0
TANAIDACEA,Zeuxo kurilensis ,2013 Nov,2,9,0,7,2,0,0,2,0
AMPHIPODA,Apohyale sp,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca abdita,2014 Jan,0,0,0,0,0,1,0,0,1
AMPHIPODA,Ampelisca agassizi,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes bermudeus ,2014 Jan,0,1,0,0,0,0,0,0,0
AMPHIPODA,Ampelisca bicarinata,2014 Jan,1,0,0,0,0,0,0,0,0
AMPHIPODA,Anamixis cavatura ,2014 Jan,0,0,0,0,0,0,2,0,0
ISOPODA,Apanthura cracenta ,2014 Jan,2,1,0,14,3,5,8,1,2
ISOPODA,Accalathura crenulata,2014 Jan,0,0,0,4,1,0,3,0,0
AMPHIPODA,Anamaera hixoni,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Anopsilana jonesi,2014 Jan,0,0,0,1,0,0,0,0,0
ISOPODA,Alcirona krebsi,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Amakusanthura magnifica ,2014 Jan,0,2,1,1,3,3,7,2,3
ISOPODA,Amakusanthura sp ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Apanthuroides millan,2014 Jan,0,0,0,0,0,0,1,0,0
TANAIDACEA,Apseudomorpha sp A ,2014 Jan,0,0,0,21,4,0,10,1,0
AMPHIPODA,Ampelisca sp,2014 Jan,1,3,6,0,14,0,1,1,0
AMPHIPODA,Ampithoe sp,2014 Jan,3,2,1,1,0,0,0,1,1
ISOPODA,Anthomuda affinis ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Anthuridea ,2014 Jan,0,0,0,1,0,0,0,0,0
TANAIDACEA,Apseudes orghidani,2014 Jan,0,0,0,1,0,0,1,0,0
TANAIDACEA,Apseudidae A,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Apseudes sp A ,2014 Jan,2,1,2,32,1,1,3,1,1
AMPHIPODA,Ampithoe ramondi,2014 Jan,0,0,1,0,0,0,2,1,1
AMPHIPODA,Ampelisca schellenbergi,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Amakusanthura signata,2014 Jan,1,0,0,7,0,0,7,0,1
AMPHIPODA,Batea cuspidata ,2014 Jan,0,0,1,0,0,1,0,0,0
AMPHIPODA,Bemlos sp,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Biancolina sp ,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Bemlos spinicarpus ,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Bemlos unicornis,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana albioida,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Carpias algicola ,2014 Jan,0,2,1,5,1,0,0,0,1
CUMACEA,Campylaspis sp ,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella antipai,2014 Jan,0,0,0,0,0,1,0,0,0
CUMACEA,Cubanocuma gutzi ,2014 Jan,0,1,1,0,0,0,0,0,0
AMPHIPODA,Caribboecetes sp ,2014 Jan,0,0,0,1,0,0,2,0,0
CUMACEA,Cumella clavicauda ,2014 Jan,0,0,0,0,0,1,0,2,0
AMPHIPODA,Concarnes concavus,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Cirolana crenulitelson,2014 Jan,0,0,0,1,0,0,0,0,0
AMPHIPODA,Curidia debrogania,2014 Jan,0,0,0,0,0,0,1,0,0
CUMACEA,Cumella garrityi,2014 Jan,1,0,0,1,0,0,0,2,1
CUMACEA,Cyclaspis goesi,2014 Jan,0,0,6,0,0,1,0,4,1
CUMACEA,Cumella gomoiui ,2014 Jan,1,0,0,0,1,0,0,0,0
CUMACEA,Cyclaspis granulata,2014 Jan,0,0,1,0,0,0,0,0,0
ISOPODA,Calyptolana hancocki ,2014 Jan,0,0,0,9,1,0,0,0,0
AMPHIPODA,Chevalia aviculae,2014 Jan,0,2,0,20,12,0,5,0,0
CUMACEA,Campylaspis cf heardi ,2014 Jan,0,0,0,0,0,0,1,0,0
aMPHIPODA,Chevalia sp,2014 Jan,0,0,0,0,0,0,0,0,0
aMPHIPODA,Colomastix janiceae,2014 Jan,0,0,0,0,1,0,2,0,0
ISOPODA,Colanthura sp,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella longicaudata ,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella meredithi,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella murariui,2014 Jan,0,0,0,1,3,0,0,0,0
CUMACEA,Cumella ocellata,2014 Jan,0,0,4,2,6,0,1,3,1
ISOPODA,Cirolana parva ,2014 Jan,4,66,2,28,1,13,3,4,6
ISOPODA,Cleantioides planicauda,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella ruetzleri ,2014 Jan,0,0,0,0,0,2,1,0,0
CUMACEA,Cumella serrata ,2014 Jan,0,0,7,0,0,0,0,3,0
AMPHIPODA,Ceradocus sheardi ,2014 Jan,1,0,1,0,0,1,0,0,1
AMPHIPODA,Ceradocus shoemakeri,2014 Jan,0,0,1,0,0,0,0,0,0
ISOPODA,Colanthura tenuis,2014 Jan,0,0,0,1,0,0,0,0,0
ISOPODA,Carpias triton ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Cortezura  confixa,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella sp A,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella sp G,2014 Jan,0,0,0,0,1,1,0,0,1
CUMACEA,Cyclaspis varians,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Cumella vicina ,2014 Jan,0,0,0,0,1,0,0,0,1
ISOPODA,Cyathura sp,2014 Jan,0,0,0,0,0,1,0,0,0
CUMACEA,Cyclaspis sp ,2014 Jan,0,0,1,0,0,1,0,0,1
AMPHIPODA,Cymadusa sp,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Cymodoce ruetzleri,2014 Jan,2,1,0,0,0,0,0,0,0
AMPHIPODA,Cyprodeidae A,2014 Jan,0,0,0,0,0,0,1,0,0
TANAIDACEA,Discapseudes belizensis,2014 Jan,0,0,1,0,0,1,0,0,0
AMPHIPODA,Dexaminidae A,2014 Jan,0,0,0,0,0,1,0,0,0
AMPHIPODA,Deutella incerta ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Dycerceis kensleyi,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Dexaminella sp ,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Dumosus sp,2014 Jan,0,0,0,0,0,0,5,1,0
ISOPODA,Excorallana antillensis,2014 Jan,0,3,1,9,0,1,0,8,1
AMPHIPODA,Elasmopus balkomanus,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Excorallana berbicensis,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Erichthonius brasiliensis ,2014 Jan,0,0,0,0,0,1,2,0,0
ISOPODA,Eurydice convexa,2014 Jan,0,1,0,0,0,1,0,0,3
CUMACEA,Elasmocumella sp,2014 Jan,0,0,0,1,0,1,0,0,0
ISOPODA,Exosphaeroma diminuta,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Erichsonella filiformis,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Elasmopus levis,2014 Jan,4,2,1,0,0,0,9,1,1
ISOPODA,Eisothistos petrensis ,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Elasmopus rapax ,2014 Jan,0,0,0,1,5,0,5,4,2
AMPHIPODA,Eobrolgus spinosus,2014 Jan,2,0,1,0,10,0,0,0,0
ISOPODA,Exosphaeroma tricornis ,2014 Jan,0,0,0,0,0,2,0,0,0
CUMACEA,Eudorella sp,2014 Jan,0,0,3,0,0,0,0,0,0
ISOPODA,Excorallana warmingii ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Excorallana sp,2014 Jan,0,0,0,0,0,0,0,0,3
ISOPODA,Exosphaeroma sp,2014 Jan,1,0,1,0,0,2,4,0,0
ISOPODA,Exosphaeroma yucatanum,2014 Jan,0,0,0,0,0,0,0,0,0
aMPHIPODA,Gammaropsis atlantica,2014 Jan,0,1,1,7,0,0,0,1,0
ISOPODA,Geocerceis barbarae ,2014 Jan,0,0,3,10,0,9,1,1,0
ISOPODA,Gnathia beethoveni ,2014 Jan,0,1,0,0,0,0,0,0,0
AMPHIPODA,Gammarus mucronatus,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Gnathia magdalensis ,2014 Jan,0,0,7,7,4,7,1,5,3
ISOPODA,Gnathia myersi,2014 Jan,0,3,1,0,0,0,0,0,2
ISOPODA,Gnathia sp,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Gnathostenetroides pugio,2014 Jan,0,0,0,0,5,1,3,0,0
ISOPODA,Gnathostenetroides sp,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,"Gnathia (praniza, ovigerous)",2014 Jan,7,22,28,26,20,23,9,29,32
ISOPODA,Gnathia  puertoricensis ,2014 Jan,0,0,2,9,0,4,0,0,1
AMPHIPODA,Globosolembos smithi ,2014 Jan,3,0,9,14,0,5,0,3,4
ISOPODA,Gnathia vellosa ,2014 Jan,1,0,0,5,0,3,0,2,1
ISOPODA,Gnathia virginalis,2014 Jan,0,0,0,0,0,1,0,0,0
AMPHIPODA,Hippomedon sp,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Hoplomachus propinquus ,2014 Jan,0,0,0,0,1,0,0,0,0
TANAIDACEA,Hargeria rapax ,2014 Jan,0,0,0,0,0,0,1,1,0
ISOPODA,Heptanthura scopulosa,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Hansenium serratum,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Hansenium spathulicarpus,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Hansenium stebbingi,2014 Jan,0,0,0,3,3,0,0,0,0
AMPHIPODA,Hourstonius tortugae ,2014 Jan,0,0,5,0,0,0,0,0,1
AMPHIPODA,Hemiproto wigleyi ,2014 Jan,0,0,1,0,0,0,0,0,0
AMPHIPODA,Hyalidae A,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Ingolfiella sp,2014 Jan,0,0,1,0,0,1,0,0,0
AMPHIPODA,Iphimediidae A,2014 Jan,0,0,4,0,0,0,1,0,0
ISOPODA,Joeropsis bifasciatus,2014 Jan,0,0,0,0,0,1,0,0,0
ISOPODA,Joeropsis sp ,2014 Jan,0,1,0,2,0,0,0,0,0
ISOPODA,Joeropsis personatus,2014 Jan,0,0,0,0,0,1,0,0,0
ISOPODA,Joeropsis rathbunae,2014 Jan,0,0,0,2,0,2,0,0,0
ISOPODA,Joeropsis tobagoensis,2014 Jan,0,0,0,5,0,0,0,0,0
TANAIDACEA,Kalliapseudes bahamensis  ,2014 Jan,0,1,4,0,3,0,0,2,0
AMPHIPODA,Lyssianopsis alba,2014 Jan,1,1,0,1,0,0,0,1,2
AMPHIPODA,Liljeborgia bousfieldi,2014 Jan,0,0,0,1,0,0,0,0,0
TANAIDACEA,Leptochelia dubia ,2014 Jan,15,26,15,68,19,61,50,37,11
CUMACEA,Leucon sp A,2014 Jan,0,0,0,0,1,0,0,0,0
CUMACEA,Leucon sp B,2014 Jan,0,0,1,0,0,0,0,0,0
AMPHIPODA,Liljeborgia sp,2014 Jan,1,0,1,0,0,0,1,0,0
AMPHIPODA,Listriella sp,2014 Jan,1,0,0,0,1,0,0,0,0
AMPHIPODA,Leucothoe laurensis,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Leptochelia longimana,2014 Jan,0,0,0,0,0,1,0,0,0
ISOPODA,Lyocoryphe minocule,2014 Jan,0,0,0,1,0,0,0,0,0
ISOPODA,Limnoria platicauda,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Leucothoe spinicarpa ,2014 Jan,1,0,1,5,0,1,2,1,1
AMPHIPODA,Leucothoe sp,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Lembos unifasciatus,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Maeropsis sp,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Metacirolana agaricicola ,2014 Jan,1,0,0,13,1,0,0,0,0
aMPHIPODA,Maera sp,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Mesanthura bivittata ,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Mancocuma sp,2014 Jan,0,1,2,0,0,1,2,0,0
ISOPODA,Metacirolana menziesi ,2014 Jan,0,0,1,0,0,1,0,0,0
ISOPODA,Mesanthura sp,2014 Jan,0,0,1,2,0,0,3,0,1
AMPHIPODA,Melita sp,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Metarphinia floridana,2014 Jan,0,0,1,0,3,0,0,0,0
ISOPODA,Metacirolana halia ,2014 Jan,0,0,0,9,0,1,0,0,0
ISOPODA,Mesanthura hopkinsi,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Maera jerrica ,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Maera miranda ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Mesanthura paucidens ,2014 Jan,0,0,0,0,0,1,0,1,0
ISOPODA,Mesanthura pulchra ,2014 Jan,0,0,0,0,0,1,2,1,0
AMPHIPODA,Melita sheardi,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Metatyron triocellatus,2014 Jan,0,0,0,0,0,0,0,0,0
MYSIDAE,Mysidae A,2014 Jan,0,0,1,0,0,0,0,2,0
AMPHIPODA,Netamelita barnardi  ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Neocirolana obtruncata,2014 Jan,0,3,0,0,0,0,0,0,0
TANAIDACEA,Nototanaidae  A ,2014 Jan,1,1,2,10,0,0,0,0,0
TANAIDACEA,Nototanaidae C,2014 Jan,0,0,0,9,0,8,0,0,0
AMPHIPODA,Oedicerotidae A,2014 Jan,0,1,0,0,0,0,0,0,0
TANAIDACEA,Pseudoapseudomorpha sp A,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Paracerceis sp,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Pagurotanais bouryi,2014 Jan,0,0,0,19,1,0,115,0,0
ISOPODA,Paracerceis caudata ,2014 Jan,2,0,0,1,0,0,0,0,0
AMPHIPODA,Periculodes cerasinus,2014 Jan,0,0,0,0,1,0,0,0,0
ISOPODA,Pleurocope floridensis,2014 Jan,0,0,0,0,1,0,0,0,0
TANAIDACEA,Parapseudes sp A ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Pendanthura sp,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Paranthura floridensis,2014 Jan,0,0,0,0,0,1,1,0,0
TANAIDACEA,Psammokalliapseudes granulosus,2014 Jan,0,1,1,0,0,0,0,0,0
ISOPODA,Pendanthura hendleri ,2014 Jan,0,0,0,0,0,0,4,0,0
AMPHIPODA,Photis sp,2014 Jan,0,0,0,0,0,1,0,0,0
AMPHIPODA,Pseudoampithoides incurvaria ,2014 Jan,0,0,0,0,0,1,5,0,0
ISOPODA,Paranthura infundibulata,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Pseudoleptochelia sp A ,2014 Jan,3,4,1,123,6,92,6,4,4
ISOPODA,Paramunnidae A,2014 Jan,0,0,1,0,0,0,0,0,0
AMPHIPODA,Psammogammarus sp ,2014 Jan,0,0,0,0,0,1,5,0,0
AMPHIPODA,Paraphinotus seclusus ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Pendanthura tanaiformis,2014 Jan,0,0,0,0,0,0,0,0,0
TANAIDACEA,Paratanais sp A,2014 Jan,0,3,0,497,8,22,14,4,1
AMPHIPODA,Quadrimaera sp ,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Schizotrema aglutinanta ,2014 Jan,0,0,0,1,0,0,1,0,0
ISOPODA,Hansenium bowmani,2014 Jan,0,0,0,0,0,1,0,0,0
AMPHIPODA,Spathiopus looensis,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Spilocuma sp,2014 Jan,0,0,0,0,0,0,0,0,1
TANAIDACEA,Sinelobus stanfordi ,2014 Jan,0,1,9,0,12,2,7,0,1
ISOPODA,Stenobermuda sp,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Seba tropica,2014 Jan,0,0,0,0,0,0,0,0,0
AMPHIPODA,Synopia ultramarina,2014 Jan,0,1,1,0,0,0,0,1,0
TANAIDACEA,Synapseudes sp A ,2014 Jan,0,0,0,16,0,2,90,0,0
AMPHIPODA,Tabatzius muelleri ,2014 Jan,0,0,0,0,0,0,0,0,0
ISOPODA,Uromunna reynoldsi ,2014 Jan,0,0,1,0,0,0,0,1,0
CUMACEA,Vaunthompsonia sp,2014 Jan,0,0,0,0,0,0,0,0,0
CUMACEA,Vaunthompsonia floridana,2014 Jan,0,1,0,0,0,0,0,0,0
CUMACEA,Vaunthompsonia minor,2014 Jan,1,0,0,0,1,0,0,0,0
TANAIDACEA,Zeuxo kurilensis ,2014 Jan,0,1,0,0,4,2,0,6,2
